sensitive_tool_count,max_time_gap,min_time_gap,avg_time_gap,session_length,unique_tool_count,label
3,4.975681458843933,0.33794586784111397,2.9405723451756764,6,4,0
4,5.8135600246405765,0.3888086437834942,2.6258427982379873,5,5,1
5,5.897146701153368,0.17054584669953665,2.9331334504200965,8,7,0
3,5.983252414169796,0.6426739680764079,3.8071711103517374,8,6,0
1,0.398762435400011,0.398762435400011,0.398762435400011,2,2,0
5,5.312200413472394,1.1195625498016564,2.1507842859298667,6,3,0
0,3.7401652704934047,3.7401652704934047,3.7401652704934047,2,1,0
5,5.319449845727293,0.9096925010791823,2.7133959282977878,7,6,0
0,5.997673906186942,0.44568825864089934,4.331400622983331,8,4,0
2,4.916082453491535,1.6725093062875303,3.2942958798895328,3,2,0
3,4.454820096611952,1.4956516831805193,2.7467473510316056,6,5,0
3,5.515587496931814,0.10403262866460176,2.187887189988072,8,7,0
1,5.520806645112516,5.08127610998214,5.301041377547328,3,2,0
0,4.257708416220713,0.7544314927923469,1.98263020956174,4,3,0
3,5.857577961156315,2.00335890580017,3.585004489881,6,6,1
4,4.905279995013584,1.1484789021320836,3.1135140316352694,7,6,1
1,1.1742823604799297,1.1742823604799297,1.1742823604799297,2,2,0
1,5.6264579819701,0.9297958720765535,3.684593163282783,4,3,0
2,5.782169784780468,3.853501944418173,4.817835864599321,3,2,0
3,4.743418035934896,0.3840700006263619,3.1671011822465998,6,5,0
4,4.9899611676408835,2.172263898860972,3.7190745004040777,7,5,1
3,4.815247937962402,0.21846019015036303,1.7428742643915036,5,4,1
1,5.338794479632389,5.338794479632389,5.338794479632389,2,2,0
1,5.913128990832745,2.0939084470628213,4.003518718947783,3,2,0
2,1.3127478126358292,0.6974210847426803,1.0644970758504024,5,4,0
1,4.005919333458219,1.2780813244895837,2.602479967716721,7,4,0
1,3.865324888539967,3.865324888539967,3.865324888539967,2,2,0
3,5.324406887222279,0.6377075775490074,2.9081774588131313,7,6,1
2,5.038764637593297,1.6540647770079184,3.129099303144185,4,4,0
3,4.538187338480194,0.6056731398555109,3.0606414624098863,4,4,1
3,5.060703281938478,3.3662512463316623,4.451848431991948,4,4,0
1,5.412684862682392,3.062398674862069,4.348799087273771,5,4,0
1,5.983888437994776,2.668820148641793,4.681086552676788,6,4,0
2,5.154082665812856,3.3571197302948548,3.9645837331765086,4,3,0
1,5.292801129287691,1.6584061180051899,4.436956513168247,6,4,0
3,5.285850026874356,2.435177190963088,3.422193224685289,7,5,0
5,4.9225769593011375,0.6794826026091733,2.7420268639076313,7,5,0
6,5.2164149262463315,1.2088205762664075,3.670745324275561,8,7,0
3,5.516383309112586,1.2373043363061937,3.6326452290184106,8,6,0
4,3.84891787354748,0.28032283505376204,1.653363525352124,4,4,0
4,5.042157244514691,0.26195789039684425,2.4494540584434668,7,7,1
3,4.098401951936728,1.687593117686847,3.0554072225850044,5,5,1
0,3.6892289090901973,1.420243187167522,2.5547360481288597,3,3,0
4,3.7792759675025938,1.3874334190302957,2.605843467328551,6,6,1
3,4.138037501557296,1.7312511748038901,2.5827855239929174,6,5,1
